price_id,community_id,trans_date,street,road,shift_floor,room,bath_room,building_area,attach_area,month,trans_month,price
4372673,17120,27/9/2020,0,1,27,3,2,27.5124,3.7117,3,C,113333.0408
4372899,17120,15/6/2020,0,1,4,3,2,22.9265,4.2653,2,B,178290.7676
4391069,17120,12/9/2020,0,1,23,3,2,27.2704,3.6845,3,C,115778.4494
4391865,17120,26/9/2020,0,1,16,2,1,18.0593,4.1473,3,C,138364.6994
4392185,17120,15/9/2020,0,1,22,3,2,22.9265,4.6948,3,C,131563.6364
4414066,17120,5/10/2020,0,1,13,3,2,27.9147,5.3119,4,D,134809.9174
4414218,17120,30/10/2020,0,1,21,3,2,27.2704,3.6845,4,D,108095.8678
4414481,17120,19/10/2020,0,1,17,3,2,23.0112,3.4273,4,D,109639.6694
4414631,17120,11/9/2020,0,1,6,3,2,22.9265,4.2653,3,C,134125.907
4414662,17120,15/10/2020,0,1,21,3,2,22.9265,6.8093,4,D,110192.8375
4414663,17120,7/10/2020,0,1,28,4,3,40.6409,6.6066,4,D,148984.3313
4423940,17120,7/11/2020,0,1,27,3,2,27.5124,3.7117,4,D,119453.186
4425118,17120,29/10/2020,0,1,28,4,3,41.9265,4.3076,4,D,116839.7551
4436728,17120,6/11/2020,0,1,8,3,2,27.2704,3.6845,4,D,114565.2893
4437120,17120,13/10/2020,0,1,10,3,2,27.2704,3.6845,4,D,109295.9181
4437121,17120,17/11/2020,0,1,4,3,2,23.7644,5.8988,4,D,115765.2893
4444622,17120,26/8/2020,0,1,21,3,2,23.9489,4.6041,3,C,137117.3554
4445261,17120,10/8/2020,0,1,7,3,2,23.0112,5.7687,3,C,166046.281
4465946,17120,25/11/2020,0,1,20,3,2,27.2704,3.6845,4,D,102089.2562
4466349,17120,29/11/2020,0,1,5,3,2,23.0112,2.9978,4,D,106806.6116
4466356,17120,27/11/2020,0,1,23,3,2,27.2704,5.9562,4,D,125279.3388
4476800,17120,5/12/2020,0,1,30,3,2,27.5124,3.7117,4,D,128537.2817
4488173,17120,8/12/2020,0,1,28,4,2,43.0216,8.6092,4,D,153259.5041
4488181,17120,8/12/2020,0,1,34,2,1,18.0169,4.1473,4,D,135613.2231
4488472,17120,16/12/2020,0,1,32,2,1,18.0169,4.1473,4,D,132006.6116
4501066,17120,18/12/2020,0,1,21,6,4,27.2704,5.9562,4,D,125989.618
4558187,17120,28/11/2020,0,1,10,3,2,23.7644,5.8988,4,D,150036.3636
4571197,17120,28/11/2020,0,1,20,2,1,18.0593,4.1473,4,D,145225.0052
4591356,17120,22/11/2020,0,1,11,3,2,27.2704,3.6845,4,D,113829.544
4602889,17120,28/11/2020,0,1,17,3,2,27.2704,3.6845,4,D,152535.5372
4603286,17120,28/11/2020,0,1,21,2,1,17.8687,4.1473,4,D,147581.1967
4626884,17120,28/11/2020,0,1,18,3,2,22.9265,4.6948,4,D,164452.8926
4133688,24785,9/1/2020,1,0,8,2,1,15.4941,2.0268,1,A,115797.5673
4140464,24785,7/2/2020,1,0,9,3,2,24.436,3.5362,1,A,104761.8857
4140496,24785,17/1/2020,1,0,13,3,2,24.4239,3.2156,1,A,91893.2378
4140527,24785,15/2/2020,1,0,3,3,2,24.4087,3.2156,1,A,87923.5008
4140529,24785,22/1/2020,1,0,6,5,2,26.8771,3.9779,1,A,111157.7809
4151378,24785,10/3/2020,1,0,14,2,2,15.4941,2.0268,1,A,109201.2509
4151414,24785,19/3/2020,1,0,3,3,2,24.436,3.5362,1,A,96185.1819
4151416,24785,28/2/2020,1,0,2,3,2,24.4239,3.2156,1,A,114163.8896
4173236,24785,9/3/2020,1,0,11,3,2,24.436,3.5362,1,A,104354.9928
4173265,24785,7/3/2020,1,0,4,3,2,24.436,3.5362,1,A,103287.9527
4173266,24785,15/3/2020,1,0,15,3,2,24.4087,3.2156,1,A,94884.6932
4173269,24785,20/3/2020,1,0,8,3,2,24.4269,3.5362,1,A,109402.1423
4173296,24785,28/2/2020,1,0,3,3,2,24.4239,3.2156,1,A,129912.67
4180255,24785,13/2/2020,1,0,12,3,2,24.4269,3.5362,1,A,115193.5193
4180312,24785,4/2/2020,1,0,14,2,2,15.3398,2.0268,1,A,120649.0921
4190738,24785,12/3/2020,1,0,7,2,1,15.3398,2.0268,1,A,127746.924
4190798,24785,22/3/2020,1,0,16,2,2,15.4941,2.0268,1,A,122887.9957
4190799,24785,27/3/2020,1,0,15,3,2,26.8711,3.8448,1,A,137190.5908
4201516,24785,30/3/2020,1,0,15,3,2,24.4239,3.2156,1,A,109498.7059
4201520,24785,29/2/2020,1,0,3,3,2,24.4269,3.5362,1,A,131544.3192
4209653,24785,17/3/2020,1,0,10,3,2,24.436,3.5362,1,A,109841.573
4209678,24785,25/4/2020,1,0,7,3,2,24.436,3.5362,2,B,109702.7713
4219701,24785,26/4/2020,1,0,4,4,2,24.4087,3.2156,2,B,112987.6308
4229415,24785,28/4/2020,1,0,4,3,2,24.4269,3.5362,2,B,117444.9844
4229450,24785,26/4/2020,1,0,7,2,2,15.3398,2.0268,2,B,107656.113
4229469,24785,16/5/2020,1,0,15,3,2,24.4239,3.2156,2,B,105128.805
4229480,24785,16/5/2020,1,0,6,3,2,24.4087,3.2156,2,B,132704.2242
4229481,24785,23/5/2020,1,0,2,2,1,15.4941,2.0268,2,B,123208.6116
4229554,24785,12/5/2020,1,0,12,2,1,15.4941,2.0268,2,B,102230.9583
4240164,24785,11/5/2020,1,0,5,1,1,15.3398,2.0268,2,B,184818.4316
4240289,24785,20/5/2020,1,0,15,3,2,24.436,3.5362,2,B,109587.9581
4240304,24785,3/6/2020,1,0,14,3,2,19.357,2.7044,2,B,110250.1645
4252117,24785,13/5/2020,1,0,7,3,2,24.436,3.5362,2,B,112508.7194
4252196,24785,18/4/2020,1,0,2,3,2,24.4269,3.5362,2,B,105134.6989
4252212,24785,22/3/2020,1,0,3,3,2,24.4239,3.2156,1,A,133261.8655
4259506,24785,31/5/2020,1,0,4,3,2,19.357,2.7044,2,B,99914.2116
4259652,24785,27/5/2020,1,0,6,2,2,15.4941,2.0268,2,B,126299.8358
4268475,24785,29/4/2020,1,0,13,2,2,15.3398,2.0268,2,B,125588.9891
4268480,24785,19/6/2020,1,0,7,3,2,24.436,3.5362,2,B,123480.4909
4268514,24785,19/6/2020,1,0,4,3,2,26.8711,3.8448,2,B,106024.6342
4268519,24785,25/6/2020,1,0,2,2,1,15.4941,2.0268,2,B,127849.4898
4268570,24785,23/6/2020,1,0,15,3,2,19.357,2.7044,2,B,114825.359
4268571,24785,10/5/2020,1,0,7,3,2,24.436,3.5362,2,B,95367.4537
4268572,24785,5/7/2020,1,0,13,3,2,15.3398,2.0268,3,C,152214.4534
4268585,24785,5/7/2020,1,0,4,2,1,15.4941,2.0268,3,C,126246.0957
4268588,24785,5/7/2020,1,0,9,3,3,26.8711,3.8448,3,C,149262.3269
4268599,24785,14/7/2020,1,0,15,3,2,19.2178,2.7044,3,C,123881.6198
4268827,24785,13/7/2020,1,0,8,3,2,15.4941,2.0268,3,C,125033.1394
4268836,24785,7/7/2020,1,0,5,2,2,15.4941,2.0268,3,C,115797.5673
4268845,24785,5/7/2020,1,0,9,4,2,26.8771,3.9779,3,C,116775.9593
4313755,24785,6/5/2020,1,0,5,3,2,24.436,3.5362,2,B,106927.145
4313797,24785,13/8/2020,1,0,7,2,2,15.4941,2.0268,3,C,109772.5606
4313801,24785,11/8/2020,1,0,15,2,2,15.3398,2.0268,3,C,182903.0052
4313821,24785,26/7/2020,1,0,14,4,2,26.8771,3.9779,3,C,104702.4153
4313881,24785,5/8/2020,1,0,3,3,2,24.4269,3.5362,3,C,113618.2658
4323632,24785,5/8/2020,1,0,8,1,2,15.3398,2.0268,3,C,127609.6167
4323634,24785,16/8/2020,1,0,6,2,2,15.3398,2.0268,3,C,109403.8162
4323704,24785,26/8/2020,1,0,5,1,2,15.3398,2.0268,3,C,178399.8995
4331668,24785,4/7/2020,1,0,5,2,2,15.4941,2.0268,3,C,115709.7625
4342726,24785,29/7/2020,1,0,13,2,1,26.8771,3.9779,3,C,144968.3209
4342782,24785,12/9/2020,1,0,14,2,2,15.4941,2.0268,3,C,126246.0957
4342796,24785,30/8/2020,1,0,6,3,2,24.4239,3.2156,3,C,112709.3888
4342837,24785,20/9/2020,1,0,15,3,2,26.8771,3.9779,3,C,102148.6979
4342856,24785,31/8/2020,1,0,15,3,2,24.4239,3.2156,3,C,108985.0838
4356310,24785,18/7/2020,1,0,9,3,2,24.4239,3.2156,3,C,112643.3238
4356329,24785,26/7/2020,1,0,4,3,2,24.436,3.5362,3,C,94798.5319
4373563,24785,13/9/2020,1,0,6,2,2,15.3398,2.0268,3,C,125588.9891
4373564,24785,23/9/2020,1,0,8,3,2,24.4269,3.5362,3,C,85288.5739
4381176,24785,17/9/2020,1,0,7,2,1,24.4239,3.2156,3,C,111563.6364
4381208,24785,17/9/2020,1,0,9,3,2,24.4239,3.2156,3,C,137499.1905
4381368,24785,13/8/2020,1,0,11,2,2,15.4941,2.0268,3,C,121570.2479
4381388,24785,29/9/2020,1,0,4,3,2,24.4269,3.5362,3,C,128107.104
4381399,24785,7/10/2020,1,0,15,3,2,24.4087,3.2156,4,D,111172.1838
4381429,24785,2/10/2020,1,0,12,2,1,15.3398,2.0268,4,D,118978.5124
4381432,24785,25/9/2020,1,0,5,3,2,24.436,3.5362,3,C,90947.4546
4394147,24785,23/10/2020,1,0,3,3,2,24.4087,3.2156,4,D,97139.8518
4405286,24785,22/10/2020,1,0,6,5,5,24.4269,3.5362,4,D,126254.5455
4405324,24785,17/10/2020,1,0,7,3,2,19.2178,2.7044,4,D,110955.3719
4405360,24785,26/10/2020,1,0,2,3,2,19.357,2.7044,4,D,108528.9256
4405372,24785,15/10/2020,1,0,11,2,1,15.4941,2.0268,4,D,127849.4898
4417082,24785,19/10/2020,1,0,7,2,2,15.4941,2.0268,4,D,116982.0761
4417175,24785,18/10/2020,1,0,7,3,2,24.436,3.5362,4,D,118135.5372
4417192,24785,21/10/2020,1,0,3,3,2,24.4239,3.2156,4,D,137336.8977
4426656,24785,25/10/2020,1,0,5,2,2,15.4941,2.0268,4,D,123907.438
4426657,24785,24/10/2020,1,0,10,2,2,15.4941,2.0268,4,D,121451.2397
4426676,24785,8/11/2020,1,0,10,2,2,15.3398,2.0268,4,D,119428.0992
4426700,24785,9/11/2020,1,0,16,4,2,26.8711,3.8448,4,D,113340.9727
4453326,24785,23/10/2020,1,0,12,2,1,15.4941,2.0268,4,D,147285.9504
4453348,24785,26/10/2020,1,0,9,2,2,15.3398,2.0268,4,D,125590.0826
4455727,24785,29/11/2020,1,0,7,3,2,24.436,3.5362,4,D,128682.3671
4455763,24785,16/11/2020,1,0,2,4,2,26.8771,3.9779,4,D,121302.4793
4455781,24785,7/11/2020,1,0,15,2,2,24.4087,3.2156,4,D,154231.212
4455886,24785,22/11/2020,1,0,2,4,2,26.8771,3.9779,4,D,113847.3949
4455908,24785,28/11/2020,1,0,14,2,2,15.4941,2.0268,4,D,125735.6542
4455929,24785,15/12/2020,1,0,5,3,2,24.4269,3.5362,4,D,117507.438
4470335,24785,6/12/2020,1,0,2,2,2,14.154,1.2251,4,D,139123.7607
4478585,24785,7/12/2020,1,0,11,2,1,15.4941,2.0268,4,D,149374.7198
4478677,24785,28/11/2020,1,0,12,2,2,15.4941,2.0268,4,D,129848.3272
4478689,24785,26/12/2020,1,0,9,2,1,15.4941,2.0268,4,D,126247.9339
4478690,24785,23/11/2020,1,0,15,3,2,24.4269,3.5362,4,D,90179.8143
4478729,24785,26/12/2020,1,0,16,4,2,26.8771,3.9779,4,D,112801.4766
4478732,24785,3/12/2020,1,0,6,2,2,14.154,1.2251,4,D,119633.0579
4490667,24785,14/12/2020,1,0,14,3,2,24.4239,3.2156,4,D,121409.4612
4503217,24785,24/12/2020,1,0,6,2,2,15.4941,2.0268,4,D,112109.0909
4503266,24785,31/12/2020,1,0,12,2,2,26.8771,3.9779,4,D,110115.7025
4503298,24785,7/12/2020,1,0,5,2,2,24.436,3.5362,4,D,144842.735
4503299,24785,26/12/2020,1,0,16,2,1,15.4941,2.0268,4,D,122671.9018
4562727,24785,12/12/2020,1,0,4,3,2,24.436,3.5362,4,D,135040.2157
4124982,25812,19/1/2020,1,0,7,2,1,17.2334,2.2385,1,A,257638.6374
4134935,25812,12/1/2020,1,0,21,2,1,15.2974,2.2385,1,A,248776.4616
4142268,25812,17/1/2020,1,0,17,2,1,17.1064,2.3958,1,A,229321.5483
4153197,25812,22/2/2020,1,0,16,2,1,17.2334,2.2385,1,A,254157.0342
4153247,25812,3/3/2020,1,0,17,2,1,17.2334,2.2385,1,A,282009.8599
4153359,25812,26/2/2020,1,0,21,3,2,22.3487,4.2925,1,A,279784.3117
4171795,25812,16/1/2020,1,0,10,3,2,22.4879,4.2925,1,A,265758.1955
4171985,25812,10/3/2020,1,0,24,3,2,19.1846,4.1927,1,A,247763.6482
4171994,25812,18/2/2020,1,0,26,4,2,29.4484,5.8867,1,A,253403.8865
4193042,25812,23/2/2020,1,0,19,3,2,22.3366,4.1049,1,A,256699.8665
4202769,25812,2/4/2020,1,0,6,3,2,22.3487,4.2925,2,B,264523.3493
4211405,25812,9/4/2020,1,0,11,2,1,17.1427,2.3958,2,B,242258.1226
4211459,25812,3/4/2020,1,0,6,3,2,19.6111,3.996,2,B,226053.2877
4231342,25812,10/5/2020,1,0,20,2,1,17.1427,2.3958,2,B,241565.9565
4231438,25812,11/5/2020,1,0,15,2,1,17.1427,2.3958,2,B,263023.1045
4242501,25812,15/5/2020,1,0,24,2,1,15.2884,2.2446,2,B,252408.5601
4277776,25812,26/6/2020,1,0,8,2,1,17.1064,2.3958,2,B,222190.5909
4278088,25812,22/5/2020,1,0,13,2,1,17.1064,2.3958,2,B,267510.6887
4278277,25812,24/6/2020,1,0,6,2,1,17.1427,2.3958,2,B,236720.7941
4278419,25812,6/7/2020,1,0,7,3,2,19.6111,3.996,3,C,248457.5525
4278471,25812,5/7/2020,1,0,23,2,1,17.1064,2.3958,3,C,292854.3909
4278489,25812,14/6/2020,1,0,16,2,1,17.2334,2.2385,2,B,276439.2948
4278647,25812,19/7/2020,1,0,14,2,1,17.1064,2.3958,3,C,256907.8708
4278648,25812,25/6/2020,1,0,22,3,2,22.3366,4.1049,2,B,272102.557
4280013,25812,7/6/2020,1,0,18,3,2,19.6111,3.996,2,B,258510.7483
4280042,25812,30/5/2020,1,0,10,2,1,17.1064,2.3958,2,B,252929.3805
4280060,25812,8/6/2020,1,0,14,1,1,17.2334,2.2385,2,B,298721.5553
4280127,25812,4/7/2020,1,0,17,2,1,17.1427,2.3958,3,C,280327.2561
4280211,25812,15/7/2020,1,0,19,2,1,17.1064,2.3958,3,C,255359.5985
4280254,25812,8/7/2020,1,0,20,3,2,22.3366,4.1049,3,C,272101.8585
4315760,25812,10/7/2020,1,0,19,3,2,22.4879,4.2925,3,C,280944.3781
4315876,25812,2/8/2020,1,0,23,2,1,17.2334,2.2385,3,C,288973.0663
4315905,25812,18/7/2020,1,0,18,2,1,17.2334,2.2385,3,C,268083.4471
4315906,25812,27/7/2020,1,0,26,2,1,17.1427,2.3958,3,C,254371.0287
4325691,25812,21/7/2020,1,0,21,2,1,17.1064,2.3958,3,C,244944.3784
4325721,25812,27/7/2020,1,0,24,2,1,15.2974,2.2385,3,C,287347.5809
4325768,25812,22/7/2020,1,0,22,3,2,22.1975,4.1049,3,C,278898.7174
4325859,25812,20/7/2020,1,0,6,3,2,22.3366,4.1049,3,C,286477.051
4325860,25812,2/8/2020,1,0,13,2,1,17.1427,2.3958,3,C,273591.7146
4325862,25812,8/8/2020,1,0,20,2,1,15.2884,2.2385,3,C,283541.3932
4325886,25812,19/7/2020,1,0,22,3,2,19.1846,4.1927,3,C,300365.7012
4345613,25812,24/8/2020,1,0,27,4,2,30.4466,5.8867,3,C,301678.8109
4345748,25812,30/7/2020,1,0,15,3,2,22.3366,4.1049,3,C,281225.1258
4345771,25812,18/8/2020,1,0,10,3,2,19.6111,3.996,3,C,258510.7483
4356493,25812,5/8/2020,1,0,12,2,1,17.2334,2.2385,3,C,268083.4471
4365234,25812,23/5/2020,1,0,11,3,2,19.1846,4.1927,2,B,241815.9071
4365258,25812,4/8/2020,1,0,16,3,2,22.3366,4.1049,3,C,261833.8638
4365412,25812,22/8/2020,1,0,15,3,2,22.4879,4.2925,3,C,273351.2868
4370963,25812,25/8/2020,1,0,8,2,1,17.2334,2.2385,3,C,284795.1425
4371068,25812,15/9/2020,1,0,24,2,1,17.1427,2.3958,3,C,261292.6893
4371120,25812,13/9/2020,1,0,21,2,1,17.1427,2.3958,3,C,256101.4439
4371167,25812,12/9/2020,1,0,19,2,1,17.1427,2.3958,3,C,252640.6135
4371190,25812,5/9/2020,1,0,14,3,2,22.4879,4.2925,3,C,283475.4085
4371217,25812,4/9/2020,1,0,15,2,1,17.1427,2.3958,3,C,252640.6135
4384169,25812,11/9/2020,1,0,4,1,1,19.1846,4.1927,3,C,225887.9133
4384174,25812,27/8/2020,1,0,10,2,1,17.1064,2.3958,3,C,246492.6868
4384359,25812,10/9/2020,1,0,12,2,1,15.2884,2.2385,3,C,252468.3638
4384540,25812,14/9/2020,1,0,27,2,1,15.2884,2.2446,3,C,271824.6032
4396230,25812,17/9/2020,1,0,16,2,1,15.2974,2.2385,3,C,282876.6619
4396449,25812,4/10/2020,1,0,12,3,2,22.3487,4.2925,4,D,327601.9941
4408097,25812,9/10/2020,1,0,26,2,1,17.1064,2.3958,4,D,252741.7972
4408101,25812,27/9/2020,1,0,18,3,2,19.6111,3.996,3,C,284517.1113
4408158,25812,5/10/2020,1,0,19,2,1,15.2884,2.2385,4,D,290669.8263
4408184,25812,21/10/2020,1,0,14,2,1,17.1064,2.3958,4,D,262115.4627
4426191,25812,17/10/2020,1,0,20,2,1,17.1427,2.3958,4,D,298163.6099
4426271,25812,23/10/2020,1,0,11,3,2,22.1975,4.1049,4,D,296163.2923
4430045,25812,6/11/2020,1,0,24,3,2,19.1846,4.1927,4,D,364895.8599
4430253,25812,5/11/2020,1,0,8,2,1,15.2884,2.2385,4,D,254410.4281
4430417,25812,17/10/2020,1,0,3,1,1,17.1427,2.7467,4,D,257172.7349
4441504,25812,12/8/2020,1,0,21,2,1,17.1427,2.3958,3,C,276866.4258
4441739,25812,22/8/2020,1,0,9,2,1,15.2884,2.2385,3,C,264120.7498
4451514,25812,1/11/2020,1,0,5,2,1,15.2974,2.2385,4,D,282876.6619
4451602,25812,11/11/2020,1,0,19,3,2,22.3487,4.2925,4,D,300132.2617
4451669,25812,22/11/2020,1,0,7,2,1,17.1427,2.3958,4,D,268400.4692
4451670,25812,14/11/2020,1,0,20,3,2,22.3366,4.1049,4,D,302905.8425
4458890,25812,16/11/2020,1,0,8,2,1,17.1427,2.3958,4,D,275136.0106
4458987,25812,12/12/2020,1,0,27,2,1,17.1064,2.3958,4,D,234529.1583
4459024,25812,23/9/2020,1,0,7,2,1,17.1427,2.3958,3,C,281704.6666
4471916,25812,10/11/2020,1,0,16,3,2,19.6111,3.996,4,D,292978.8481
4472179,25812,30/11/2020,1,0,6,2,1,17.1427,2.3958,4,D,276174.2597
